Year,Business Visitors,Holiday Visitors,Average Length of Stay,Other Visitors,Total Visitor Spend,Spend Per Day,Total Visitor Days,Total Visitor Arrivals,VFR,Country
1979,50465,237785,23.6,56308,,,10211434,432382,87824,All
1980,59679,257596,23.9,46687,,,11112538,465163,101201,All
1981,62310,262032,24.1,45724,,,11515216,478037,107971,All
1982,66997,260735,24.2,40421,,,11666509,481726,113573,All
1983,68515,283264,24,40357,,,12180234,508465,116329,All
1984,76441,326191,22.2,40814,,,12623125,567611,124165,All
1985,84234,399570,22,48124,,,14725865,669558,137630,All
1986,86457,435419,22,59985,,,16138892,733424,151563,All
1987,90118,469031,21.5,102915,,,18156290,844313,182249,All
1988,99726,441312,21.4,116965,,,18519849,864892,206889,All
1989,105034,449616,20.9,126164,,,18858320,901078,220264,All
1990,110383,489681,21.2,141130,,,20653599,976010,234816,All
1991,99618,498003,20,129287,,,19288595,963470,236562,All
1992,112375,559658,19.4,121750,,,20508284,1055681,261898,All
1993,120104,661138,19.2,116207,,,22248380,1156978,259529,All
1994,135707,765183,19,141650,,,25104664,1322565,280025,All
1995,151328,799666,19,151102,,,26782546,1408795,306699,All
1996,163753,848551,19.3,169693,,,29576829,1528720,346723,All
1997,170184,806064,19.9,170488,,,29742588,1497226,350490,All
1998,179584,741789,19.7,176885,,,29262762,1484741,386483,All
1999,191667,820083,20.1,183679,4904743768,215.41,32274185,1607478,412049,All
2000,200850,930546,20.1,180678,5732837358,226.04,35982318,1789081,477007,All
2001,207659,989652,21.3,212646,6328461019,231.02,40749401,1909808,499850,All
2002,213959,1073816,22.3,234747,7152009897,236.45,45655202,2044964,522442,All
2003,217756,1084603,22.1,230882,6696556379,179.82,46527688,2106235,572994,All
2004,250271,1197287,20.1,236252,6979550746,173.96,47197974,2347671,663862,All
2005,261081,1200864,20,242585,6952055588,178.33,47542266,2382950,678419,All
2006,271428,1201932,20.4,254369,7194319184,179.75,49382806,2421556,693828,All
2007,268997,1216177,20.2,264514,7608454182,180.14,49867300,2465677,715989,All
2008,255526,1189745,20.9,266794,7417108002,180.27,51407702,2458505,746440,All
2009,232428,1190679,20.5,243840,7242404697,171.15,50405432,2458380,791433,All
2010,250701,1220392,20.1,271118,6556082176,159.67,50773092,2525047,782836,All
2011,250516,1219910,19.9,295050,6780328971,168.69,51814500,2601447,835971,All
2012,252060,1171204,19.1,281486,6342136162,165.77,48926311,2564619,859869,All
2013,258672,1284373,19.2,299483,6579562172,162.17,52180718,2717698,875170,All
2014,265201,1370542,19.8,317018,7388171620,159.45,56554640,2857400,904639,All
2015,275270,1565067,19.5,339385,9697544064,189.3,61158618,3131930,952208,All
2016,289822,1820040,19.1,367529,10085816489,183.17,66716870,3499938,1022547,All
2017,302623,1958493,18.5,394353,10563014075,190.47,68924137,3733703,1078233,All
2018,306633,2072811,18.6,409425,11029931379,198.26,73000469,3915847,1126978,All
2019,314118,2219371,18.7,428546,11728706812,199.46,77160559,4128322,1166287,All
2020,321276,2333246,18.7,448093,12333601270,200.93,81050462,4329030,1226416,All
2021,327341,2446198,18.7,467427,12955683617,202.43,84847129,4527433,1286467,All
2022,334280,2564031,18.8,487193,13558883554,204.6,88789008,4726060,1340557,All
2023,342830,2685989,18.8,507907,14163901382,206.61,92749017,4926224,1389498,All
2024,349747,2807667,18.9,528328,14760535045,208.44,96726264,5120184,1434442,All
1979,24789,126445,20.2,21848,,,4434302,219698,46616,Australia
1980,28786,120108,20,14829,,,4365773,217749,54026,Australia
1981,29855,114291,20.3,14809,,,4362266,214621,55666,Australia
1982,31130,112350,20.4,14041,,,4411149,216676,59155,Australia
1983,30714,119676,20.3,13278,,,4547935,224100,60432,Australia
1984,36580,132956,19.5,14425,,,4881878,250879,66918,Australia
1985,41584,161081,19.1,17309,,,5596075,293558,73584,Australia
1986,42624,131020,18.8,21891,,,5148363,273559,78024,Australia
1987,46466,120982,17.5,36363,,,5161672,294594,90783,Australia
1988,51159,85164,17.1,34412,,,4554204,266414,95679,Australia
1989,58024,105146,16,39689,,,4983443,312217,109358,Australia
1990,58501,120930,16.2,42662,,,5542876,341713,119620,Australia
1991,54667,118079,15.4,41389,,,5204779,338509,124374,Australia
1992,62072,130260,14.7,36906,,,5357289,363642,134404,Australia
1993,67180,130979,14.5,34328,,,5188357,358975,126488,Australia
1994,72607,140263,14.5,41907,,,5596549,386061,131284,Australia
1995,82488,138998,14.5,41822,,,5841130,402657,139349,Australia
1996,89807,147475,13.8,42860,,,5993964,435862,155720,Australia
1997,95261,141002,13.7,44314,,,5921257,433031,152455,Australia
1998,102392,174819,13.1,50095,,,6558806,501989,174683,Australia
1999,109979,178646,13.1,50668,1050939946,188.46,6863698,523506,184214,Australia
2000,114040,208648,12.9,46108,1089407901,189.8,7394599,574464,205668,Australia
2001,118966,242183,12.9,52947,1235647645,214.19,8107216,630689,216594,Australia
2002,117123,242931,13.2,52937,1218464013,201.05,8372285,632487,219497,Australia
2003,124510,274345,13,58151,1563466730,186.87,9165219,702796,245790,Australia
2004,146880,342787,12.2,66883,1835571621,182.4,10469852,861114,304564,Australia
2005,151245,341476,11.9,74621,1848500893,184.85,10476220,881120,313779,Australia
2006,157747,352388,12.1,77426,1941938071,198.12,10955591,907984,320424,Australia
2007,162544,377035,11.7,79130,2118441782,222.14,11180484,954200,335492,Australia
2008,156185,383950,11.7,79290,2159874753,208.88,11482039,980735,361311,Australia
2009,143925,460016,11,72863,2263209206,188.36,12015250,1087524,410720,Australia
2010,155891,463567,11.4,90637,2210313592,177.13,12837399,1126125,416029,Australia
2011,154760,457719,10.6,96623,2224531053,199.94,12341334,1159689,450587,Australia
2012,154311,435446,10.5,92622,2223735026,196.79,12190371,1160325,477946,Australia
2013,162066,470074,10.7,99030,2231689104,176.57,13076087,1221117,489947,Australia
2014,166796,479205,10.8,97922,2044170003,170.3,13509520,1249437,505513,Australia
2015,175645,516452,10.5,104236,2439594974,190.37,13917381,1327934,531600,Australia
2016,185152,563357,10.4,110052,2487486722,189.63,14615543,1411500,552939,Australia
2017,191758,592458,9.8,120138,2557205790,207.73,14411091,1476105,571752,Australia
2018,196179,606493,9.7,126922,2632723354,208.69,14729726,1518764,589171,Australia
2019,202568,632003,9.6,133686,2705398250,204.53,15085236,1569753,601496,Australia
2020,205225,646316,9.5,137777,2769722149,202.04,15438396,1620828,631511,Australia
2021,207761,660250,9.4,141935,2833410025,200.75,15803542,1673382,663435,Australia
2022,211585,678173,9.4,146870,2898086051,200.14,16303655,1725913,689285,Australia
2023,216513,699660,9.4,152642,2960708942,199.87,16790499,1778425,709610,Australia
2024,220298,717592,9.4,157653,3025139039,199.79,17190237,1820254,724711,Australia
1979,668,8892,31.3,1872,,,448016,14296,2864,Canada
1980,956,12164,26.9,1884,,,499296,18556,3552,Canada
1981,944,12352,29.1,1792,,,532732,18332,3244,Canada
1982,1070,12038,30.1,1460,,,542348,18008,3440,Canada
1983,1200,13204,28.3,1848,,,579904,20464,4212,Canada
1984,1284,15592,25.6,1857,,,590644,23041,4308,Canada
1985,1652,20657,27.3,2044,,,813458,29833,5480,Canada
1986,1841,24714,23.7,2964,,,813048,34326,4807,Canada
1987,1462,24779,22.5,4067,,,799387,35553,5245,Canada
1988,1595,24941,20.2,4437,,,751579,37137,6164,Canada
1989,1644,18990,22.4,4346,,,693718,30919,5939,Canada
1990,1950,19288,22.7,6314,,,770155,33983,6431,Canada
1991,1129,17692,22,5042,,,666285,30276,6413,Canada
1992,1449,14144,24,3344,,,620000,25849,6912,Canada
1993,1679,15725,21.8,3709,,,605501,27755,6642,Canada
1994,1812,15870,22.5,5167,,,669461,29749,6900,Canada
1995,2151,15384,22.9,4630,,,666708,29077,6912,Canada
1996,2155,14723,25.1,4343,,,725113,28937,7716,Canada
1997,1736,15167,26.1,4777,,,774417,29682,8002,Canada
1998,2258,15533,23.9,4586,,,741445,31019,8642,Canada
1999,2304,18052,26.7,3847,154350986,202.13,890498,33299,9096,Canada
2000,2578,17382,27,2939,116250974,117.3,891172,33031,10132,Canada
2001,2699,21126,25.3,2870,191347431,251.53,929977,36702,10007,Canada
2002,1924,24380,27.5,2953,162808368,203.93,1092207,39657,10400,Canada
2003,2188,24005,28.1,3436,136532060,132.96,1123700,39972,10343,Canada
2004,2400,23690,28.2,3306,138337645,128.37,1152407,40813,11417,Canada
2005,2568,22998,28.2,3667,133629799,126.19,1197380,42501,13268,Canada
2006,2759,26030,29,3527,170526570,146.31,1338515,46224,13908,Canada
2007,2767,27011,24.7,4191,151379667,121.58,1185653,47997,14028,Canada
2008,2174,31490,24.5,4696,170571808,169.28,1312904,53514,15154,Canada
2009,2354,27889,24.9,4009,169715986,153.29,1215123,48869,14617,Canada
2010,2475,27582,26.1,4141,174120142,154.4,1282483,49230,15033,Canada
2011,2569,26863,27.4,4575,158178576,139.34,1350935,49289,15282,Canada
2012,2715,24823,24.1,4256,136078768,151.3,1121182,46616,14822,Canada
2013,3033,26725,23.7,4123,146831162,123.29,1145517,48340,14460,Canada
2014,2500,26324,24.6,4150,191288686,124.04,1199793,48868,15894,Canada
2015,2962,28281,25.9,4659,241278582,170.4,1356321,52396,16494,Canada
2016,3317,33972,23.5,4519,220834345,138.8,1406691,59853,18045,Canada
2017,3032,40349,23.5,5537,258294536,165.85,1588382,67484,18566,Canada
2018,2909,43773,24.6,5302,277288658,156.59,1786904,72495,20511,Canada
2019,3011,47062,24.7,5516,294716908,157.64,1907544,77201,21612,Canada
2020,3021,49808,24.7,5621,308629462,158.59,2003124,81100,22650,Canada
2021,3019,52231,24.7,5694,320799398,159.59,2084891,84435,23491,Canada
2022,3012,54344,24.7,5751,331635624,160.62,2156242,87345,24238,Canada
2023,3000,56243,24.7,5793,341435110,161.67,2219589,89928,24893,Canada
2024,2985,57960,24.7,5827,350434159,162.74,2276664,92256,25483,Canada
1979,136,108,41.9,68,,,14588,348,36,China
1980,216,288,42.1,100,,,27292,648,44,China
1981,180,436,35,212,,,32752,936,108,China
1982,236,220,40.7,68,,,24408,600,76,China
1983,236,172,42.7,104,,,25444,596,84,China
1984,264,256,36.6,92,,,25484,696,84,China
1985,500,584,36.3,156,,,48720,1344,104,China
1986,546,503,42.1,176,,,59393,1411,186,China
1987,678,693,38,310,,,83591,2199,518,China
1988,897,847,40.9,611,,,118010,2882,527,China
1989,775,430,49.3,669,,,123820,2513,639,China
1990,1087,305,57.1,1055,,,175992,3082,635,China
1991,1142,327,41.4,664,,,107451,2596,463,China
1992,1685,461,35.8,841,,,129209,3612,625,China
1993,2348,524,30.3,756,,,130358,4301,673,China
1994,3000,1646,28.3,1008,,,183454,6487,833,China
1995,4267,2003,32.2,1210,,,287572,8918,1438,China
1996,5119,3792,45.2,2194,,,616413,13646,2541,China
1997,6447,6444,36.9,2071,,,647595,17551,2590,China
1998,6170,5710,25.7,2060,,,422440,16413,2472,China
1999,7200,8017,28.5,4344,58617072,427.41,663583,23247,3687,China
2000,8840,13105,32,5937,121733125,319.54,1074503,33538,5655,China
2001,12492,22492,34.7,10866,165622324,326.5,1847582,53187,7337,China
2002,17922,29486,41.6,19050,294061506,266.2,3186901,76535,10078,China
2003,15474,26928,34.7,13366,268215958,204.53,2289895,66043,10276,China
2004,20386,40998,20.7,11537,276967002,186.31,1755148,84879,11958,China
2005,19635,45233,18.1,11821,255618504,212.3,1599061,88465,11776,China
2006,22990,57903,16.2,12717,302890999,239.12,1720438,106236,12626,China
2007,19009,75716,14.6,11818,318791571,276.2,1769989,121315,14772,China
2008,11660,75010,16.1,11617,299588686,261.97,1820002,112902,14614,China
2009,10168,65573,20.2,10521,351549815,305.95,2078252,102709,16447,China
2010,10869,82623,19.3,10973,397379495,234.36,2385764,123412,18947,China
2011,12509,98193,18.2,13950,475143448,274.92,2649044,145928,21276,China
2012,15791,140952,16,16994,685768139,265.6,3173933,197781,24044,China
2013,12945,169694,17.1,18222,693577916,295.22,3916932,229543,28681,China
2014,11888,195288,18.4,22270,1025321636,305.05,4882252,265222,35776,China
2015,13244,272698,17.3,29722,1667717166,464.65,6165010,356211,40547,China
2016,14811,311299,17.6,35558,1653203637,297.29,7225170,409567,47899,China
2017,15434,314933,18.1,35614,1464194256,265.47,7593390,419038,53057,China
2018,14049,348920,18.3,37566,1727791137,337.83,8428840,461055,60520,China
2019,14339,389497,18.4,41685,1935703649,339.3,9396956,511871,66350,China
2020,14723,426635,18.4,46802,2147669147,340.84,10362277,562145,73985,China
2021,15226,466480,18.5,52152,2362674276,342.44,11395308,615669,81811,China
2022,15650,509490,18.6,57780,2589007236,344.08,12508443,673058,90137,China
2023,16132,554644,18.7,63865,2823290662,345.8,13692759,733777,99136,China
2024,16635,603600,18.7,70575,3064107713,347.64,14989410,799974,109163,China
1979,788,3960,21.5,528,,,127520,5920,644,Germany
1980,856,5560,25.5,628,,,198992,7804,760,Germany
1981,1060,5940,31.5,652,,,274775,8725,1073,Germany
1982,1176,6184,32.4,528,,,290532,8968,1080,Germany
1983,1276,6712,30.9,492,,,294008,9528,1048,Germany
1984,1404,6415,30.7,460,,,292396,9511,1232,Germany
1985,1688,7304,30,488,,,319808,10656,1176,Germany
1986,1642,8355,34.1,650,,,410665,12040,1393,Germany
1987,1406,12096,35,972,,,575025,16438,1964,Germany
1988,1670,15002,31.1,1295,,,625607,20111,2144,Germany
1989,1599,18431,31.2,1418,,,740392,23768,2320,Germany
1990,1414,24209,29.5,1769,,,884550,29973,2581,Germany
1991,1251,27628,33,2525,,,1133327,34298,2894,Germany
1992,1121,37914,30.1,3146,,,1375924,45705,3524,Germany
1993,1491,47343,28,3976,,,1572004,56162,3352,Germany
1994,1470,49782,27.2,4273,,,1612449,59254,3729,Germany
1995,1795,44855,28.4,3842,,,1559709,54937,4445,Germany
1996,1849,40698,29.7,2812,,,1480232,49921,4562,Germany
1997,1832,37090,29.3,3138,,,1369057,46697,4637,Germany
1998,2296,35740,27.2,3564,,,1264830,46484,4883,Germany
1999,2061,36463,29.8,2889,161324770,167.21,1378910,46251,4838,Germany
2000,2346,40647,31.2,3052,217539951,143.42,1606548,51555,5510,Germany
2001,1993,41938,32,3559,231821976,159.11,1681122,52494,5004,Germany
2002,2640,37616,35.6,3105,225836912,178.71,1741873,48942,5581,Germany
2003,2592,40137,37.5,3578,253972850,177.79,1970519,52575,6268,Germany
2004,2310,41582,38.6,4572,221856990,140.89,2165559,56049,7585,Germany
2005,2511,42069,39.7,5105,249330830,139.41,2301215,57972,8287,Germany
2006,2919,42670,42.6,5821,272008723,164.12,2546067,59704,8294,Germany
2007,3258,41799,43.9,5976,263397551,139.93,2634715,60023,8990,Germany
2008,3571,43026,43.5,6896,269351661,135.84,2722999,62598,9105,Germany
2009,2946,45653,45.7,6873,336478183,145.87,2966323,64843,9371,Germany
2010,3487,45609,44.2,7372,262807827,148.96,2877592,65038,8570,Germany
2011,3143,43362,50.4,7650,242749480,129.32,3220851,63893,9738,Germany
2012,3051,43730,50.2,7147,215270983,116.97,3210584,64014,10086,Germany
2013,3610,47807,52.8,8229,258883798,109.73,3696682,70013,10367,Germany
2014,3012,56704,50.8,8396,407919299,105.8,4013255,79023,10911,Germany
2015,3427,62190,54.4,8615,492069352,122.02,4600416,84608,10376,Germany
2016,3702,71496,50.3,8960,575656338,114.02,4884376,97012,12854,Germany
2017,3707,78783,45.5,9403,500481485,95.07,4787204,105181,13289,Germany
2018,4137,79999,45.3,10254,520398606,106.77,4861321,107259,12869,Germany
2019,4420,84542,45.6,11105,554416322,106.8,5180681,113651,13584,Germany
2020,4719,89402,45.5,11979,590435772,106.8,5477955,120424,14324,Germany
2021,5013,94102,45.6,12849,625681353,106.81,5786126,126998,15035,Germany
2022,5321,99066,45.6,13758,663310893,106.81,6104832,133932,15786,Germany
2023,5621,103801,45.6,14654,701471374,106.81,6412724,140575,16499,Germany
2024,5937,108762,45.6,15604,740030391,106.81,6733475,147547,17243,Germany
1979,144,152,38.1,96,,,18876,496,104,India
1980,104,180,34.2,180,,,19440,568,104,India
1981,144,189,30.1,192,,,21234,705,180,India
1982,132,96,34.2,148,,,17092,500,124,India
1983,140,184,57.5,152,,,36556,636,160,India
1984,236,124,58.4,148,,,42256,724,216,India
1985,228,260,64,204,,,58920,920,228,India
1986,316,387,58,228,,,80506,1387,456,India
1987,259,488,45.1,269,,,72239,1603,587,India
1988,238,584,42.5,323,,,86551,2038,893,India
1989,251,773,54.8,324,,,168809,3078,1730,India
1990,398,439,39.3,642,,,86093,2190,711,India
1991,229,569,31,283,,,46298,1495,414,India
1992,330,640,36.6,263,,,66310,1810,577,India
1993,242,618,36.7,406,,,61057,1665,399,India
